OriginNode	DestNode	StartTime(sec)	EndTime(sec)	Demand(veh/hr)
52	62	8100	9000	1208
52	62	9000	9900	1252
52	62	9900	10800	836
56	5	0	10800	0
56	13	0	10800	0
56	17	0	10800	0
56	21	0	10800	0
56	25	0	10800	0
56	29	0	10800	0
56	37	0	10800	0
56	41	0	10800	0
56	43	0	10800	0
56	45	0	10800	0
56	47	0	10800	0
56	55	0	10800	0
56	62	0	900	512
56	62	900	1800	572
56	62	1800	2700	472
56	62	2700	3600	604
56	62	3600	4500	528
56	62	4500	5400	456
56	62	5400	6300	520
56	62	6300	7200	628
56	62	7200	8100	576
56	62	8100	9000	548
56	62	9000	9900	580
56	62	9900	10800	600
58	5	0	10800	0
58	13	0	10800	0
58	17	0	10800	0
58	21	0	10800	0
58	25	0	10800	0
58	29	0	10800	0
58	37	0	10800	0
58	41	0	10800	0
58	43	0	10800	0
58	45	0	10800	0
58	47	0	10800	0
58	55	0	10800	0
58	62	0	900	504
58	62	900	1800	400
58	62	1800	2700	368
58	62	2700	3600	504
58	62	3600	4500	604
58	62	4500	5400	500
58	62	5400	6300	500
58	62	6300	7200	780
58	62	7200	8100	704
58	62	8100	9000	932
58	62	9000	9900	1176
58	62	9900	10800	1016
